code,libelle
0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
0112Z,Culture du riz
0113Z,"Culture de légumes, de melons, de racines et de tubercules"
0114Z,Culture de la canne à sucre
0115Z,Culture du tabac
0116Z,Culture de plantes à fibres
0119Z,Autres cultures non permanentes
0121Z,Culture de la vigne
0122Z,Culture de fruits tropicaux et subtropicaux
0123Z,Culture d'agrumes
0124Z,Culture de fruits à pépins et à noyau
0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
0126Z,Culture de fruits oléagineux
0127Z,Culture de plantes à boissons
0128Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
0129Z,Autres cultures permanentes
0130Z,Reproduction de plantes
0141Z,Élevage de vaches laitières
0142Z,Élevage d'autres bovins et de buffles
0143Z,Élevage de chevaux et d'autres équidés
0144Z,Élevage de chameaux et d'autres camélidés
0145Z,Élevage d'ovins et de caprins
0146Z,Élevage de porcins
0147Z,Élevage de volailles
0149Z,Élevage d'autres animaux
0150Z,Culture et élevage associés
0161Z,Activités de soutien aux cultures
0162Z,Activités de soutien à la production animale
0163Z,Traitement primaire des récoltes
0164Z,Traitement des semences
0170Z,"Chasse, piégeage et"
0910Z,"Chasse, piégeage et"
0990Z,Activités de soutien à l'extraction d'hydrocarbures
1811Z,Activités de soutien aux autres industries extractives
1812Z,Imprimerie de journaux
1813Z,Autre imprimerie (labeur)
1814Z,Activités de pré-presse
1820Z,d'enregistrements Reliure et activités connexes
2211Z,Reproduction d'enregistrements
2219Z,Fabrication et rechapage de pneumatiques
2221Z,Fabrication d'autres articles en caoutchouc
2222Z,en plastique matières plastiques
2223Z,Fabrication d'emballages en matières plastiques
2229A,en plastique construction
2229B,en plastique plastiques
2311Z,en plastique matières plastiques
2312Z,Fabrication de verre plat
2313Z,non métalliques Façonnage et transformation du verre plat
2314Z,Fabrication de verre creux
2319Z,Fabrication de fibres de verre
2320Z,non métalliques compris verre technique
2331Z,Fabrication de produits réfractaires
2332Z,Fabrication de carreaux en céramique
2341Z,non métalliques en terre cuite
2342Z,non métalliques ornemental
2343Z,Fabrication d'appareils sanitaires en céramique
2344Z,Fabrication d'isolateurs et pièces isolantes en céramique
2349Z,Fabrication d'autres produits céramiques à usage technique
2351Z,Fabrication d'autres produits céramiques
2352Z,Fabrication de ciment
2361Z,Fabrication de chaux et plâtre
2362Z,Fabrication d'éléments en béton pour la construction
2363Z,Fabrication d'éléments en plâtre pour la construction
2364Z,Fabrication de béton prêt à l'emploi
2365Z,Fabrication de mortiers et bétons secs
2369Z,Fabrication d'ouvrages en fibre-ciment
2370Z,non métalliques plâtre
2391Z,"non métalliques Taille, façonnage et finissage de pierres"
2399Z,Fabrication de produits abrasifs
2512Z,non métalliques n.c.a.
2540Z,Fabrication de portes et fenêtres en métal
2550A,Fabrication d'armes et de munitions
2550B,"l’exception des machines et des équipements Forge, estampage, matriçage- métallurgie des poudres"
2561Z,"l’exception des machines et des équipements Découpage, emboutissage"
2562A,Traitement et revêtement des métaux
2562B,l’exception des machines et des équipements Décolletage
2571Z,l’exception des machines et des équipements Mécanique industrielle
2572Z,Fabrication de coutellerie
2573A,Fabrication de serrures et de ferrures
2573B,Fabrication de moules et modèles
2591Z,Fabrication d'autres outillages
2592Z,Fabrication de fûts et emballages métalliques similaires
2594Z,Fabrication d'emballages métalliques légers
2599A,Fabrication de vis et de boulons
2599B,Fabrication d'articles métalliques ménagers
2611Z,Fabrication d'autres articles métalliques
2612Z,Fabrication de composants électroniques
2620Z,Fabrication de cartes électroniques assemblées
2630Z,Fabrication d'ordinateurs et d'équipements périphériques
2640Z,Fabrication d'équipements de communication
2651A,Fabrication de produits électroniques grand public
2651B,Fabrication d'équipements d'aide à la navigation
2652Z,Fabrication d'instrumentation scientifique et technique
2670Z,électroniques et optiques Horlogerie
2680Z,Fabrication de matériels optique et photographique
2811Z,"Fabrication de moteurs, génératrices et transformateurs"
2812Z,n.c.a. moteurs d’avions et de véhicules
2813Z,Fabrication d'équipements hydrauliques et pneumatiques
2814Z,Fabrication d'autres pompes et compresseurs
2815Z,Fabrication d'autres articles de robinetterie
2821Z,n.c.a. transmission
2822Z,Fabrication de fours et brûleurs
2824Z,Fabrication de matériel de levage et de manutention
2825Z,Fabrication d'outillage portatif à moteur incorporé
2829A,n.c.a. industriels
2829B,n.c.a. conditionnement et de pesage
2830Z,Fabrication d'autres machines d'usage général
2841Z,Fabrication de machines agricoles et forestières
